dist_market;dist_hospital;builtup_area;house_price
13980;13290;1839;513100
7680;10875;1839;505900
13333;14529;1838;437100
12763;15332;1837;784700
6080;10017;1837;366900
15365;15215;1836;617300
10060;11765;1836;520600
12241;15485;1836;394800
7315;7685;1835;327700
12404;12558;1833;848400
10945;13294;1832;440900
11935;15318;1831;356800
9628;12697;1831;308400
7614;9374;1829;558200
5779;12382;1829;465800
7911;10691;1829;277200
9951;9760;1827;782300
12257;11623;1825;759500
10897;15845;1823;712900
10244;15410;1823;692100
8473;9077;1822;724100
8952;11776;1822;493500
12467;12841;1822;480900
9686;13464;1821;586600
11349;11719;1821;428800
14783;16502;1820;823900
12184;16450;1820;818200
14473;17746;1820;660200
1009;14676;1820;609300
7956;11608;1819;592900
12213;16569;1819;399700
6435;12231;1817;843600
10444;12941;1817;636000
12811;15983;1815;591900
9344;11297;1815;559800
9781;15232;1813;449600
14403;13703;1810;397000
11612;11735;1810;352300
10742;11179;1810;207000
12365;13695;1808;622700
16247;17250;1808;563800
12616;12095;1807;708100
11562;12490;1806;436400
8732;14790;1805;822700
8105;7609;1805;485600
10625;12975;1805;417400
13750;14696;1804;691900
11931;13511;1803;575300
9329;10885;1802;497300
13517;9360;1801;511300
12712;12638;1800;756200
11562;9659;1800;633000
6231;4922;1799;571600
5927;7860;1799;389700
13547;15551;1799;386000
17227;15805;1798;598200
13088;14238;1798;567100
12852;16833;1796;410800
12260;14990;1795;623800
14461;15753;1794;548200
6714;10920;1794;521300
11800;12496;1793;653000
7354;11839;1792;443100
13653;15193;1791;683500
15147;20263;1791;670300
14626;14267;1791;537600
5177;8992;1790;539400
9942;14479;1790;163700
11561;15935;1789;635400
12268;12783;1789;416800
11266;11661;1788;458400
10711;13963;1787;629500
11495;13016;1787;580700
7425;8635;1785;807200
10389;8292;1785;661600
12958;17196;1783;813700
12491;12168;1783;753000
1562;12418;1778;578600
11486;11984;1777;775700
11128;11198;1777;428900
12040;15221;1777;258200
14001;17453;1776;599800
11783;13882;1776;519900
5639;10068;1776;462300
9442;11597;1775;727400
10841;11927;1774;754900
8275;10846;1774;598000
8950;13140;1774;450800
8252;13199;1773;630200
9483;11328;1773;591900
9807;14405;1771;349200
7223;14855;1771;312700
12227;16293;1770;677100
12705;15491;1770;593800
10435;16607;1770;526100
13202;16298;1768;706100
15780;15366;1766;571400
11309;14316;1765;699100
16251;13857;1764;846900
9865;11171;1764;690500
6031;9745;1763;995700
10728;16951;1763;836600
8008;11018;1762;511900
12676;14459;1761;656600
8825;7307;1760;512800
13129;12275;1760;373900
8198;9766;1759;758800
12066;13268;1758;1018200
10106;8858;1758;420600
10559;14496;1757;675200
11644;12967;1757;586000
6707;10176;1756;663600
13767;12066;1755;493300
8825;11191;1753;446700
7468;11460;1752;506800
8186;12694;1752;398200
14219;12142;1751;777900
12531;16707;1751;499900
10662;11556;1750;725500
12267;14658;1750;589200
10781;16789;1750;467000
13926;15304;1749;755300
10365;9537;1749;717800
10747;15220;1749;584400
11188;12289;1748;537300
9938;13747;1748;491000
9235;9335;1747;693200
9155;13610;1747;673200
14785;15856;1747;443700
9318;10159;1746;801400
12311;13146;1746;693700
11675;15476;1746;688900
9392;10785;1746;486100
13020;15515;1745;630200
10338;14201;1744;736600
10341;15629;1744;415700
9852;14028;1743;708100
11952;14681;1743;659700
11059;14195;1743;532300
9621;12102;1742;628000
12334;13248;1742;567100
13099;10068;1739;223100
14835;15351;1737;684300
12215;14248;1737;570900
11604;13764;1737;230900
11842;12569;1736;485500
13686;13223;1735;624700
10324;10264;1734;711200
12848;11995;1734;379800
7904;12521;1734;348800
13162;14686;1734;214700
10416;16288;1733;660000
17541;20046;1733;653100
4574;9365;1733;600600
5142;9972;1733;452600
11668;17029;1732;805800
13214;17191;1732;682600
9066;13304;1731;635400
10258;10623;1730;490300
13623;11261;1729;495100
11516;14480;1728;385600
14333;12801;1727;660000
13857;15011;1727;429800
3984;11806;1726;750300
10808;11285;1725;755500
11584;14219;1725;495500
12943;12133;1725;462200
12156;15118;1724;520900
5902;10754;1724;509200
11417;9620;1723;696000
6768;10459;1723;670900
12591;18029;1723;578600
13997;14768;1722;770800
9831;12811;1722;586600
13952;14368;1720;595400
5276;11844;1720;431900
11589;10343;1719;660500
14164;14555;1719;495400
12817;14448;1719;398000
11709;15284;1718;475700
10901;12693;1717;323300
6787;8033;1716;544100
10093;13715;1715;481800
12078;13838;1713;553900
9506;13849;1711;881200
9411;11468;1711;407000
9872;15303;1710;741700
12397;15927;1709;621800
12223;14233;1708;428100
9529;14945;1707;614600
16007;13025;1704;622800
8367;9533;1704;597600
12079;14156;1704;538400
12426;13916;1704;433700
11743;15206;1703;672900
11465;12406;1701;691300
13941;15721;1701;486700
12385;13589;1700;434600
11047;10332;1700;363300
10289;15577;1699;491600
6427;10119;1699;392000
9499;11654;1697;394200
12339;14476;1696;344100
8762;10749;1695;538900
13528;20076;1692;774200
13935;16737;1692;738000
12142;15454;1690;789500
9554;16471;1689;343100
11247;16385;1688;763500
12783;15627;1687;813900
14878;17719;1687;739900
8547;12034;1686;213000
1700;13717;1684;671300
8369;8805;1683;683900
14223;15252;1683;568800
7671;13192;1683;495000
8773;15371;1681;727100
13147;10479;1681;689000
11696;13422;1680;615900
9487;10385;1680;609800
6611;9842;1678;480300
16650;18762;1677;616600
9922;11314;1677;545900
12872;13554;1674;586100
11137;15466;1673;327400
14677;14071;1672;735000
12447;12931;1672;500700
14837;13124;1670;767300
13503;11421;1670;629600
10980;12617;1670;586100
9949;9116;1669;465800
11514;11302;1668;792700
9058;12830;1664;675800
8717;10553;1663;820800
14658;14417;1663;373200
12462;13010;1662;909400
9038;10100;1661;491600
14107;14781;1660;837200
8399;11778;1660;501700
7163;8477;1659;766400
13922;16123;1658;909600
8175;9701;1657;450200
12325;12060;1656;731700
9845;9590;1655;941700
13170;13904;1655;563600
10090;11422;1654;687400
10540;14593;1654;414900
10451;12621;1653;429700
17111;15477;1650;871600
10380;13594;1650;589400
11266;12375;1649;837500
12246;10900;1649;636600
8229;15696;1649;527800
14989;14259;1648;770700
9680;12079;1648;724300
10687;16954;1648;605300
12634;12938;1648;433900
9839;13059;1646;468400
12646;10210;1645;604700
11854;13745;1645;568600
11457;16229;1643;709400
10253;11216;1638;1029200
15438;16525;1638;518500
9491;13544;1638;460400
9004;13291;1636;799500
10246;15143;1636;367700
13110;16559;1635;959000
9003;10135;1635;610400
5772;9747;1635;507300
9441;12192;1634;829400
10429;11465;1634;771200
9659;8682;1634;307900
10689;13561;1633;502500
12056;16089;1630;539000
11598;12267;1629;397400
8488;12234;1628;723500
1562;7966;1626;782100
11479;11152;1625;521600
7486;12195;1623;729400
11775;12950;1622;448600
10609;9842;1619;426200
14620;15158;1616;866200
14696;14315;1616;627700
9029;14080;1614;766900
9005;14370;1612;610800
13867;14846;1610;658900
14329;15943;1610;388900
13930;18104;1609;685900
14399;16991;1609;540100
11161;13081;1609;415000
11866;14566;1608;604600
10016;14328;1608;359800
14287;12528;1607;551600
12349;13043;1606;430300
8836;15253;1606;386500
4644;9312;1606;385100
13333;11983;1606;244100
11461;15834;1605;767400
6352;8577;1605;534000
15272;16738;1604;514600
7556;12666;1601;508200
5460;7531;1599;449100
9505;8580;1598;566600
8916;11192;1597;365600
11566;12466;1595;738600
13882;13825;1595;574800
11270;15073;1591;857200
11615;14419;1590;818700
12550;12612;1589;338900
15074;18566;1587;1023100
11932;16948;1587;509500
11521;18432;1586;616700
13252;13997;1586;459400
13861;14579;1584;572000
10389;11111;1583;495100
9300;17103;1583;437200
11870;15364;1581;300200
12921;13539;1579;688900
13072;14860;1576;556600
9293;10704;1576;424300
14024;12540;1574;431300
8711;14479;1572;522800
7314;10673;1571;720900
13932;12772;1571;340200
10143;9685;1571;279700
8636;11431;1571;256300
14320;13391;1570;417100
14431;16375;1569;684500
8714;12405;1569;360000
9200;13495;1562;871700
12430;15104;1562;699900
10229;15329;1561;659200
12407;14913;1561;400000
14700;19617;1560;966100
13975;15747;1559;923000
12084;11926;1558;781000
8116;14091;1558;723200
9388;9735;1557;555000
12539;15552;1555;568500
16441;17743;1554;758000
11848;13787;1548;829700
14064;14874;1548;752000
14389;13108;1546;939500
11558;12516;1540;705800
10056;14031;1539;781300
13119;13556;1536;651200
10781;15148;1534;543000
7881;10157;1530;438600
13341;9727;1529;529400
15127;17387;1527;638300
9599;16454;1525;901800
8372;11239;1523;535000
11648;10009;1523;509400
12356;13209;1520;267700
14028;16129;1519;583900
9744;17121;1517;599200
12396;12930;1516;709800
8368;12566;1516;454800
12027;14258;1515;602400
16146;16532;1512;882100
10946;14208;1511;543600
8908;12009;1510;489500
6832;11747;1508;708300
8464;11292;1508;149200
9948;13315;1507;377200
9405;14191;1506;624200
10557;12097;1506;396500
10395;11206;1505;832500
11358;12631;1503;741600
10891;13380;1503;647500
11500;11948;1503;619700
7275;10474;1502;794100
9575;9133;1500;890800
11993;13463;1499;456500
10474;13497;1497;283300
11399;11434;1493;882700
11464;15648;1493;331200
6857;6316;1492;668400
13652;12823;1491;690300
12588;12015;1490;657500
11283;14728;1489;762500
12214;14277;1488;546900
9832;10943;1488;418800
12259;15087;1487;498000
8492;8590;1486;503600
11092;13571;1484;318900
12731;14181;1482;606800
11522;13615;1481;840400
13467;15079;1480;935300
9475;14329;1480;380700
10514;11003;1477;278400
11992;15660;1476;873700
8425;11450;1476;562600
14735;15825;1475;655600
9562;12062;1473;495700
12652;15503;1472;702900
12467;12711;1472;653900
9427;8678;1472;604400
10134;13433;1471;492700
10075;13734;1468;612100
9048;11991;1468;457200
10234;10502;1468;356000
12441;14070;1467;507200
5718;5446;1466;671000
13739;13314;1464;367400
15408;14394;1462;568300
9702;13106;1462;385300
10764;11187;1461;543700
7118;8842;1460;419900
12288;15977;1459;878900
10762;13998;1459;414900
10595;9399;1456;489500
12131;16681;1456;371300
14997;15491;1455;872200
11126;16434;1455;735900
12005;13876;1452;520500
15244;16983;1452;439100
8940;9831;1447;407300
11210;14991;1446;442600
13703;7564;1445;434700
5134;9461;1442;443200
10793;12774;1440;639500
7624;6764;1440;438400
10646;8243;1439;712800
12145;13548;1439;262200
9059;10863;1437;540600
11708;13220;1436;764400
7736;11164;1436;435200
9239;10996;1436;373300
11278;14656;1434;651800
8780;15335;1434;472300
10317;12353;1433;737100
11293;10991;1430;808300
15487;11348;1429;661700
12537;14418;1429;543400
11121;12596;1428;745700
12849;17962;1428;654100
13716;13115;1426;259500
13937;8728;1422;363500
10860;12856;1421;658200
10436;11963;1420;803700
11800;14304;1418;893100
14537;17452;1417;589400
11962;15007;1413;539400
8950;8719;1412;851300
5999;10472;1411;745500
13286;12785;1411;628700
12675;16231;1411;391900
10671;14466;1411;386200
7722;8175;1406;428600
11628;12786;1405;912000
9674;12678;1404;583800
10686;12522;1401;353600
13969;15519;1398;923700
15821;18449;1397;504400
7079;8592;1397;391400
12836;12107;1396;409300
9752;14157;1393;543800
9221;9414;1390;546100
6919;11618;1390;355100
8515;12294;1388;386000
16489;17178;1387;823500
9442;14746;1386;495900
11008;11301;1384;478000
7981;13748;1382;517000
8471;12891;1381;532700
11909;11625;1380;335800
13174;11586;1379;807800
12427;12710;1378;673900
16770;19497;1375;851600
5839;7428;1375;635900
10915;10058;1375;574500
10365;9878;1374;1017800
6009;9642;1372;514800
9372;10995;1371;497600
9983;10644;1370;382100
12642;15044;1369;635400
14034;11450;1366;524500
11994;12873;1353;720000
8578;10360;1352;352800
12640;13601;1351;463800
12192;14561;1347;740800
14209;16889;1345;856700
7191;12428;1345;780600
12742;13303;1342;497500
11441;13186;1338;404500
10418;14496;1337;722700
9611;9463;1332;545900
10544;12888;1331;573300
10114;11295;1322;655000
7275;10843;1321;784200
11589;13370;1321;463100
13410;16916;1314;765300
7983;8409;1309;595300
11556;12778;1308;766700
11017;12447;1306;843600
9915;9861;1305;555300
16525;15383;1299;444000
1666;3227;1296;475900
10849;17155;1291;690900
15910;16887;1288;704500
12834;13614;1288;497200
7862;10067;1284;701100
8906;8603;1280;604400
13442;14039;1280;410500
15672;16427;1279;973600
10899;11479;1278;641200
10818;16408;1276;943700
7872;11113;1273;575000
15366;15721;1270;726300
17040;14582;1264;477300
11928;11294;1262;354200
10396;12215;1246;361900
9702;15077;1237;346100
7067;11400;1235;441500
13529;18046;1231;637200
11481;13873;1229;311800
11510;14652;1216;273100
10492;11114;1215;525200
11006;16758;1207;474600
12541;13715;1202;416000
7816;15012;1194;813900
10705;11862;1194;448900
12999;14621;1194;358000
7724;8975;1192;341800
8105;9028;1179;591600
7633;12153;1172;854700
7115;8579;1154;457800
11176;13502;1152;481400
4950;6583;1138;897600
10658;14014;1133;461400
12274;13086;1125;291700
9458;12063;1121;559900
8969;12290;1120;355900
9962;14066;1106;566100
13720;14403;1099;738100
7091;8720;1093;646400
11054;15189;1087;568200
9867;14244;1073;673700
12302;16496;1059;751100
5750;12044;1050;525400
12991;10227;1018;777400
8742;12781;951;256000
11554;8995;932;425300
12981;13230;3900;1011200
